order_id,ship_date,delivery_date,carrier,shipping_cost
100001,2024-01-06 14:25:00,2024-01-10 14:25:00,USPS,5.49
100002,2024-01-05 05:41:00,2024-01-07 05:41:00,UPS,2.25
100003,2024-01-05 20:12:00,2024-01-08 20:12:00,FedEx,2.92
100004,2024-01-02 22:33:00,2024-01-07 22:33:00,DHL,3.51
100005,2024-01-01 10:52:00,2024-01-04 10:52:00,FedEx,3.0
100006,2024-01-03 10:35:00,2024-01-12 10:35:00,UPS,5.93
100007,2024-01-05 16:35:00,2024-01-14 16:35:00,USPS,4.45
100008,2024-01-03 16:56:00,2024-01-11 16:56:00,UPS,5.04
100009,2024-01-06 16:44:00,2024-01-12 16:44:00,UPS,6.32
100010,2024-01-02 18:15:00,2024-01-10 18:15:00,DHL,1.09
100011,2024-01-05 01:09:00,2024-01-14 01:09:00,DHL,22.21
100012,2024-01-06 23:43:00,2024-01-13 23:43:00,USPS,8.79
100013,2024-01-04 15:24:00,2024-01-14 15:24:00,UPS,2.35
100014,2024-01-05 19:03:00,2024-01-12 19:03:00,DHL,40.0
100015,2024-01-04 22:59:00,2024-01-07 22:59:00,USPS,6.36
100018,2024-01-05 22:53:00,2024-01-06 22:53:00,USPS,4.11
100019,2024-01-02 05:47:00,2024-01-10 05:47:00,USPS,4.38
100020,2024-01-02 12:18:00,2024-01-11 12:18:00,DHL,3.13
100022,2024-01-03 06:09:00,2024-01-04 06:09:00,UPS,3.17
100023,2024-01-01 13:27:00,2024-01-07 13:27:00,DHL,5.29
100024,2024-01-03 11:05:00,2024-01-06 11:05:00,DHL,2.98
100025,2024-01-03 03:02:00,2024-01-13 03:02:00,UPS,7.67
100026,2024-01-05 12:32:00,2024-01-11 12:32:00,FedEx,11.93
100027,2024-01-02 22:06:00,2024-01-07 22:06:00,DHL,7.11
100028,2024-01-01 10:05:00,2024-01-03 10:05:00,DHL,36.18
100029,2024-01-03 06:07:00,2024-01-09 06:07:00,FedEx,9.53
100030,2024-01-04 07:12:00,2024-01-11 07:12:00,DHL,2.92
100031,2024-01-06 10:20:00,2024-01-10 10:20:00,FedEx,7.33
100032,2024-01-01 16:25:00,2024-01-03 16:25:00,FedEx,12.71
100033,2024-01-01 23:58:00,2024-01-03 23:58:00,DHL,7.73
100034,2024-01-03 14:11:00,2024-01-12 14:11:00,DHL,4.15
100035,2024-01-06 16:09:00,2024-01-12 16:09:00,DHL,10.48
100036,2024-01-01 04:28:00,2024-01-09 04:28:00,FedEx,22.4
100037,2024-01-02 05:20:00,2024-01-05 05:20:00,UPS,10.96
100038,2024-01-05 02:10:00,2024-01-10 02:10:00,UPS,8.07
100039,2024-01-01 01:43:00,2024-01-05 01:43:00,FedEx,7.17
100040,2024-01-05 09:58:00,2024-01-08 09:58:00,USPS,10.35
100042,2024-01-03 15:06:00,2024-01-09 15:06:00,USPS,5.98
100043,2024-01-03 18:00:00,2024-01-05 18:00:00,USPS,11.27
100044,2024-01-03 13:18:00,2024-01-10 13:18:00,UPS,14.93
100045,2024-01-03 02:02:00,2024-01-13 02:02:00,DHL,8.0
100046,2024-01-04 17:44:00,2024-01-06 17:44:00,DHL,3.21
100048,2024-01-02 17:31:00,2024-01-04 17:31:00,USPS,1.43
100049,2024-01-03 10:21:00,2024-01-10 10:21:00,FedEx,9.1
100050,2024-01-04 04:43:00,2024-01-10 04:43:00,DHL,6.14
100051,2024-01-05 09:28:00,2024-01-14 09:28:00,UPS,27.83
100052,2024-01-06 19:27:00,2024-01-16 19:27:00,USPS,8.49
100053,2024-01-01 13:42:00,2024-01-04 13:42:00,DHL,5.8
100054,2024-01-02 23:09:00,2024-01-12 23:09:00,DHL,13.88
100055,2024-01-05 17:21:00,2024-01-07 17:21:00,FedEx,14.69
