order_id,product_id,quantity,unit_price,line_total
100001,156,8,55.21,441.68
100001,29,1,75.65,75.65
100002,250,1,71.85,71.85
100002,163,6,71.4,428.4
100002,67,3,54.11,162.33
100003,184,1,61.75,61.75
100003,221,5,43.71,218.55
100003,225,1,119.78,119.78
100003,64,3,137.0,411.0
100003,222,1,77.6,77.6
100004,118,1,86.98,86.98
100004,104,2,133.57,267.14
100005,55,2,74.06,148.12
100006,142,1,38.25,38.25
100007,151,1,99.79,99.79
100007,11,2,66.83,133.66
100008,102,3,23.78,71.34
100008,167,3,83.06,249.18
100009,127,3,19.4,58.2
100009,82,2,75.22,150.44
100009,36,3,100.35,301.05
100009,213,1,68.96,68.96
100009,240,2,64.46,128.92
100009,55,1,74.06,74.06
100010,159,4,87.96,351.84
100011,68,1,65.71,65.71
100011,171,2,98.24,196.48
100012,221,1,43.71,43.71
100012,170,1,73.09,73.09
100012,172,1,55.29,55.29
100013,247,1,61.76,61.76
100014,144,7,68.87,482.09
100014,92,3,28.45,85.35
100014,134,1,58.72,58.72
100015,89,2,49.89,99.78
100015,218,6,67.66,405.96
100016,62,9,45.21,406.89
100017,124,5,40.13,200.65
100017,160,1,81.45,81.45
100018,42,1,38.99,38.99
100019,137,1,90.74,90.74
100020,165,2,65.52,131.04
100020,86,2,101.47,202.94
100020,88,1,43.99,43.99
100021,160,2,81.45,162.9
100021,19,1,83.82,83.82
100021,193,3,60.73,182.19
100021,120,3,62.97,188.91
100021,51,1,58.61,58.61
100021,152,3,41.94,125.82
100022,184,6,61.75,370.5
100022,150,2,148.73,297.46
100022,99,1,29.77,29.77
100023,179,1,83.23,83.23
100024,20,2,34.0,68.0
100024,175,1,35.71,35.71
100025,245,1,82.05,82.05
100026,197,3,38.93,116.79
100026,85,2,82.59,165.18
100027,143,2,41.78,83.56
100028,13,1,60.57,60.57
100028,75,2,23.62,47.24
100029,23,1,41.84,41.84
100030,176,1,35.71,35.71
100031,107,5,106.02,530.1
100031,168,11,81.45,895.95
100032,40,4,42.13,168.52
100033,46,4,56.35,225.4
100034,105,3,49.55,148.65
100034,154,1,53.04,53.04
100034,102,3,23.78,71.34
100034,100,3,28.23,84.69
100035,225,2,119.78,239.56
100035,93,1,110.85,110.85
100036,158,1,16.69,16.69
100037,34,1,50.64,50.64
100038,128,4,60.62,242.48
100039,156,2,55.21,110.42
100040,166,3,73.27,219.81
100040,129,4,78.06,312.24
100040,150,4,148.73,594.92
100041,189,1,95.46,95.46
100041,250,1,71.85,71.85
100042,147,1,22.26,22.26
100042,232,1,43.43,43.43
100042,66,4,102.14,408.56
100042,199,2,91.75,183.5
100042,205,2,50.04,100.08
100042,165,3,65.52,196.56
100043,53,1,43.41,43.41
100044,228,3,35.59,106.77
100044,41,1,17.74,17.74
100045,89,1,49.89,49.89
100045,49,1,103.58,103.58
100045,139,2,55.08,110.16
100046,88,2,43.99,87.98
100046,191,1,86.49,86.49
100046,81,3,153.29,459.87
100047,27,1,97.72,97.72
100047,189,3,95.46,286.38
100047,10,2,51.62,103.24
100047,29,1,75.65,75.65
100048,93,3,110.85,332.55
100048,199,1,91.75,91.75
100048,126,6,37.67,226.02
100049,83,2,59.13,118.26
100049,190,2,47.97,95.94
100049,57,6,192.59,1155.54
100049,172,3,55.29,165.87
100049,196,2,34.49,68.98
100050,210,1,46.89,46.89
100051,48,1,94.31,94.31
100052,121,1,72.64,72.64
100053,167,3,83.06,249.18
100053,44,1,69.1,69.1
100053,170,1,73.09,73.09
100054,122,1,16.0,16.0
100054,159,1,87.96,87.96
100055,10,3,51.62,154.86
100055,236,1,25.32,25.32
100056,144,1,68.87,68.87
100057,112,3,-62.26,-186.78
100057,182,1,81.03,81.03
100057,198,2,38.07,76.14
100057,229,1,62.34,62.34
100057,121,5,72.64,363.2
100058,69,1,63.56,63.56
100058,181,1,16.25,16.25
100058,250,1,71.85,71.85
100059,180,4,61.01,244.04
100059,9,1,14.26,14.26
100060,174,3,98.62,295.86
100060,142,3,38.25,114.75
100061,22,3,80.25,240.75
100062,158,1,16.69,16.69
100062,96,2,121.51,243.02
100063,87,2,69.92,139.84
100064,152,1,41.94,41.94
100065,246,2,63.92,127.84
100065,127,1,19.4,19.4
100066,96,1,121.51,121.51
100067,178,3,116.53,349.59
100068,229,1,62.34,62.34
100069,97,2,99.71,199.42
100070,187,1,23.85,23.85
100070,156,1,55.21,55.21
100071,171,1,98.24,98.24
100071,4,6,92.29,553.74
100072,13,1,60.57,60.57
100072,221,2,43.71,87.42
100072,31,1,74.24,74.24
100073,193,1,60.73,60.73
100074,19,2,83.82,167.64
100075,146,1,76.51,76.51
100076,4,1,92.29,92.29
100076,170,2,73.09,146.18
100076,149,1,18.9,18.9
100077,5,1,110.54,110.54
100077,161,1,102.97,102.97
100078,113,6,103.0,618.0
100078,242,2,54.3,108.6
100078,123,1,88.23,88.23
100079,232,1,43.43,43.43
100079,98,1,84.95,84.95
100080,72,3,121.24,363.72
100080,31,4,74.24,296.96
100081,31,1,74.24,74.24
100082,170,2,73.09,146.18
100083,172,1,55.29,55.29
100083,181,2,16.25,32.5
100084,198,4,38.07,152.28
100084,164,1,80.21,80.21
100085,151,2,99.79,199.58
100085,149,2,18.9,37.8
100086,250,1,71.85,71.85
100086,139,3,55.08,165.24
100086,74,3,10.08,30.24
100087,25,6,37.77,226.62
100087,192,4,93.44,373.76
100087,146,5,76.51,382.55
100087,243,1,60.33,60.33
100088,228,1,35.59,35.59
100089,123,3,88.23,264.69
100089,8,4,25.54,102.16
100089,140,1,46.04,46.04
100089,79,5,193.0,965.0
100089,175,1,35.71,35.71
100090,124,1,40.13,40.13
100090,24,1,43.37,43.37
100090,187,2,23.85,47.7
100091,5,1,110.54,110.54
100092,56,2,57.54,115.08
100092,177,2,82.73,165.46
100092,106,1,90.51,90.51
100092,6,3,74.48,223.44
100093,144,2,68.87,137.74
100093,118,1,86.98,86.98
100093,177,2,82.73,165.46
100094,44,1,69.1,69.1
100094,167,1,83.06,83.06
100095,240,1,64.46,64.46
100095,122,1,16.0,16.0
100096,17,1,126.16,126.16
100096,106,1,90.51,90.51
100096,246,1,63.92,63.92
100096,165,3,65.52,196.56
100096,37,1,90.37,90.37
100097,232,1,43.43,43.43
100098,50,1,46.88,46.88
100099,57,1,192.59,192.59
100099,181,1,16.25,16.25
100099,208,2,28.56,57.12
100099,203,4,63.93,255.72
100099,219,9,114.93,1034.37
100100,17,2,126.16,252.32
100100,96,2,121.51,243.02
100101,185,3,73.34,220.02
100102,205,3,50.04,150.12
100102,177,2,82.73,165.46
100102,197,1,38.93,38.93
100102,68,1,65.71,65.71
100102,226,1,96.43,96.43
100102,169,1,126.5,126.5
100103,169,2,126.5,253.0
100103,232,1,43.43,43.43
100104,136,2,46.89,93.78
100104,137,1,90.74,90.74
100104,167,2,83.06,166.12
100104,59,1,50.9,50.9
100104,206,3,131.86,395.58
100104,133,2,83.99,167.98
100105,149,1,18.9,18.9
100106,175,5,35.71,178.55
100106,234,3,54.66,163.98
100106,180,5,61.01,305.05
100107,46,1,56.35,56.35
100108,64,3,137.0,411.0
100108,36,3,100.35,301.05
100109,82,1,75.22,75.22
100109,94,2,69.72,139.44
100109,210,2,46.89,93.78
100110,177,1,82.73,82.73
100111,155,4,106.96,427.84
100111,52,1,77.47,77.47
100111,106,1,90.51,90.51
100112,82,4,75.22,300.88
100112,99,4,29.77,119.08
100113,209,1,54.54,54.54
100113,231,1,127.6,127.6
100113,212,1,108.37,108.37
100114,186,2,24.5,49.0
100114,4,1,92.29,92.29
100115,156,1,55.21,55.21
100116,122,1,16.0,16.0
100116,57,4,192.59,770.36
100117,128,1,60.62,60.62
100117,175,1,35.71,35.71
100117,248,2,25.08,50.16
100118,142,1,38.25,38.25
100119,58,1,64.65,64.65
100120,195,2,108.2,216.4
100120,228,2,35.59,71.18
100121,87,5,69.92,349.6
100121,153,5,63.68,318.4
100122,99,3,29.77,89.31
100123,129,1,78.06,78.06
100124,12,4,74.4,297.6
100124,121,1,72.64,72.64
100124,143,1,41.78,41.78
100125,164,4,80.21,320.84
100125,111,2,44.49,88.98
100125,105,5,49.55,247.75
100126,178,3,116.53,349.59
100127,194,1,131.02,131.02
100127,170,1,73.09,73.09
100127,231,2,127.6,255.2
100127,137,1,90.74,90.74
100127,96,1,121.51,121.51
100128,135,5,165.92,829.6
100128,149,4,18.9,75.6
100128,93,6,110.85,665.1
100128,150,2,148.73,297.46
100129,212,1,108.37,108.37
100130,130,2,55.78,111.56
100130,245,2,82.05,164.1
100130,113,4,103.0,412.0
100131,4,1,92.29,92.29
100132,12,2,74.4,148.8
100132,98,1,84.95,84.95
100132,65,3,55.19,165.57
100133,219,3,114.93,344.79
100133,137,1,90.74,90.74
100134,176,1,35.71,35.71
100134,203,1,63.93,63.93
100134,50,2,46.88,93.76
100135,186,1,24.5,24.5
100135,130,1,55.78,55.78
100135,214,2,67.77,135.54
100136,133,1,83.99,83.99
100137,187,1,23.85,23.85
100137,92,2,28.45,56.9
100138,182,3,81.03,243.09
100139,220,4,67.82,271.28
100139,38,1,33.67,33.67
100139,215,2,46.07,92.14
100139,168,1,81.45,81.45
100140,186,6,24.5,147.0
100140,82,1,75.22,75.22
100141,144,1,68.87,68.87
100141,201,2,94.34,188.68
100142,55,2,74.06,148.12
100143,72,1,121.24,121.24
100143,56,2,57.54,115.08
100144,226,3,96.43,289.29
100144,74,1,10.08,10.08
100144,81,1,153.29,153.29
100145,180,3,61.01,183.03
100146,148,1,74.45,74.45
100147,145,3,80.44,241.32
100148,44,4,69.1,276.4
100149,164,1,80.21,80.21
100149,164,3,80.21,240.63
100149,57,1,192.59,192.59
100150,167,1,83.06,83.06
100150,60,3,50.56,151.68
100150,6,1,74.48,74.48
100150,74,5,10.08,50.4
100151,114,5,58.99,294.95
100152,195,2,108.2,216.4
100152,85,2,82.59,165.18
100152,87,1,69.92,69.92
100152,228,3,35.59,106.77
100153,182,3,81.03,243.09
100153,75,1,23.62,23.62
100154,22,4,80.25,321.0
100154,29,3,75.65,226.95
100155,156,3,55.21,165.63
100155,80,1,100.13,100.13
100156,76,1,51.26,51.26
100157,116,0,88.72,0.0
100157,146,2,76.51,153.02
100158,32,1,35.54,35.54
100158,9,5,14.26,71.3
100158,112,1,62.26,62.26
100159,190,1,47.97,47.97
100159,236,2,25.32,50.64
100160,150,4,148.73,594.92
100160,74,1,10.08,10.08
100160,227,1,60.2,60.2
100161,232,2,43.43,86.86
100162,116,3,88.72,266.16
100162,72,3,121.24,363.72
100163,174,2,98.62,197.24
100163,131,1,55.06,55.06
100164,36,4,100.35,401.4
100165,22,1,80.25,80.25
100166,124,1,40.13,40.13
100167,132,1,81.33,81.33
100167,174,1,98.62,98.62
100168,71,3,70.49,211.47
100169,133,1,83.99,83.99
100170,13,1,60.57,60.57
100170,161,1,102.97,102.97
100170,177,1,82.73,82.73
100170,4,1,92.29,92.29
100171,89,2,49.89,99.78
100171,160,2,81.45,162.9
100171,230,2,63.51,127.02
100171,98,1,84.95,84.95
100172,117,3,61.27,183.81
100173,179,2,83.23,166.46
100173,111,3,44.49,133.47
100174,137,2,90.74,181.48
100174,152,1,41.94,41.94
100174,203,1,63.93,63.93
100175,2,3,57.56,172.68
100175,67,2,54.11,108.22
100176,204,3,84.64,253.92
100177,29,4,75.65,302.6
100177,165,2,65.52,131.04
100178,110,1,57.85,57.85
100178,113,1,103.0,103.0
100179,240,4,64.46,257.84
100179,106,1,90.51,90.51
100180,68,1,65.71,65.71
100181,150,2,148.73,297.46
100182,80,2,100.13,200.26
100183,166,2,73.27,146.54
100183,2,1,57.56,57.56
100183,50,4,46.88,187.52
100184,242,3,54.3,162.9
100185,217,2,42.24,84.48
100185,131,4,55.06,220.24
100185,149,1,18.9,18.9
100185,141,1,97.75,97.75
100186,171,2,98.24,196.48
100186,106,1,90.51,90.51
100186,79,3,193.0,579.0
100186,172,1,55.29,55.29
100186,113,3,103.0,309.0
100187,231,2,127.6,255.2
100187,150,1,148.73,148.73
100187,34,1,50.64,50.64
100188,77,1,89.28,89.28
100188,246,3,63.92,191.76
100188,81,1,153.29,153.29
100188,94,1,69.72,69.72
100188,207,2,64.62,129.24
100189,75,3,23.62,70.86
100190,136,1,46.89,46.89
100190,35,2,99.37,198.74
100191,23,1,41.84,41.84
100191,90,6,54.89,329.34
100192,157,6,34.01,204.06
100192,4,1,92.29,92.29
100193,159,1,87.96,87.96
100193,55,3,74.06,222.18
100193,66,3,102.14,306.42
100193,62,1,45.21,45.21
100193,247,1,61.76,61.76
100194,60,1,50.56,50.56
100194,17,3,126.16,378.48
100195,155,1,106.96,106.96
100196,13,1,60.57,60.57
100197,144,1,68.87,68.87
100197,162,1,52.0,52.0
100198,55,1,74.06,74.06
100198,39,1,19.04,19.04
100199,161,1,102.97,102.97
100199,50,1,46.88,46.88
100199,134,1,58.72,58.72
100200,81,2,153.29,306.58
100200,55,1,74.06,74.06
100201,166,1,73.27,73.27
100201,234,1,54.66,54.66
100201,250,2,71.85,143.7
100201,57,2,192.59,385.18
100202,214,2,67.77,135.54
100203,217,1,42.24,42.24
100204,185,2,73.34,146.68
100204,77,8,89.28,714.24
100204,213,2,68.96,137.92
100204,242,1,54.3,54.3
100204,201,1,94.34,94.34
100205,224,2,127.22,254.44
100205,34,1,50.64,50.64
100206,4,1,92.29,92.29
100206,151,2,99.79,199.58
100207,139,2,55.08,110.16
100207,234,2,54.66,109.32
100207,244,1,50.84,50.84
100208,223,1,58.02,58.02
100208,79,2,193.0,386.0
100209,106,1,90.51,90.51
100210,93,1,110.85,110.85
100210,172,3,55.29,165.87
100211,9,1,14.26,14.26
100212,44,3,69.1,207.3
100213,158,3,16.69,50.07
100213,231,1,127.6,127.6
100214,173,1,69.95,69.95
