order_id,customer_id,order_datetime,order_status,channel,state_at_purchase
100001,711,2024-01-01 14:25:00,delivered,Mobile,CA
100002,252,2024-01-01 05:41:00,shipped,Mobile,FL
100003,61,2024-01-01 20:12:00,created,In-Store,NC
100004,794,2024-01-01 22:33:00,delivered,Mobile,IN
100005,1105,2024-01-01 10:52:00,created,In-Store,FL
100006,363,2024-01-01 10:35:00,cancelled,Mobile,MA
100007,1174,2024-01-01 16:35:00,created,Web,WA
100008,612,2024-01-01 16:56:00,paid,In-Store,NY
100009,1127,2024-01-01 16:44:00,created,Mobile,NC
100010,753,2024-01-01 18:15:00,delivered,Mobile,CA
100011,467,2024-01-01 01:09:00,created,Mobile,GA
100012,524,2024-01-01 23:43:00,created,In-Store,IN
100013,1001,2024-01-01 15:24:00,paid,Mobile,TX
100014,297,2024-01-01 19:03:00,paid,Web,GA
100015,471,2024-01-01 22:59:00,paid,In-Store,FL
100016,348,2024-01-01 08:02:00,paid,Mobile,PA
100017,821,2024-01-01 13:34:00,delivered,In-Store,MA
100018,1018,2024-01-01 22:53:00,cancelled,In-Store,ZZ
100019,431,2024-01-01 05:47:00,shipped,Mobile,TX
100020,109,2024-01-01 12:18:00,shipped,Mobile,PA
100021,123,2024-01-01 01:48:00,created,Web,TX
100022,323,2024-01-01 06:09:00,cancelled,Mobile,PA
100023,701,2024-01-01 13:27:00,created,Mobile,TX
100024,921,2024-01-01 11:05:00,cancelled,Web,FL
100025,342,2024-01-01 03:02:00,paid,Web,MA
100026,284,2024-01-01 12:32:00,delivered,Mobile,MA
100027,805,2024-01-01 22:06:00,paid,Mobile,NC
100028,759,2024-01-01 10:05:00,cancelled,Web,CA
100029,114,2024-01-01 06:07:00,delivered,Web,NY
100030,71,2024-01-01 07:12:00,cancelled,Mobile,IN
100031,576,2024-01-01 10:20:00,cancelled,Mobile,ZZ
100032,1031,2024-01-01 16:25:00,paid,Mobile,IN
100033,1166,2024-01-01 23:58:00,delivered,Mobile,CA
100034,799,2024-01-01 14:11:00,cancelled,In-Store,ZZ
100035,1062,2024-01-01 16:09:00,cancelled,In-Store,WA
100036,620,2024-01-01 04:28:00,delivered,Mobile,IN
100037,588,2024-01-01 05:20:00,created,Mobile,GA
100038,938,2024-01-01 02:10:00,created,In-Store,FL
100039,1106,2024-01-01 01:43:00,delivered,Mobile,NY
100040,1043,2024-01-01 09:58:00,cancelled,Mobile,ZZ
100041,229,2024-01-01 14:09:00,paid,Web,NC
100042,1122,2024-01-01 15:06:00,created,In-Store,NC
100043,631,2024-01-01 18:00:00,paid,In-Store,MA
100044,197,2024-01-01 13:18:00,paid,In-Store,NC
100045,161,2024-01-01 02:02:00,shipped,In-Store,NC
100046,66,2024-01-01 17:44:00,created,Mobile,NC
100047,1060,2024-01-01 20:04:00,delivered,Mobile,PA
100048,434,2024-01-01 17:31:00,created,In-Store,FL
100049,837,2024-01-01 10:21:00,created,Web,TX
100050,581,2024-01-01 04:43:00,delivered,Mobile,IN
100051,919,2024-01-01 09:28:00,paid,In-Store,CA
100052,1011,2024-01-01 19:27:00,delivered,In-Store,CA
100053,938,2024-01-01 13:42:00,delivered,Web,WA
100054,412,2024-01-01 23:09:00,cancelled,Mobile,TX
100055,1051,2024-01-01 17:21:00,delivered,Web,IL
100056,371,2024-01-01 10:23:00,delivered,Web,IN
100057,432,2024-09-16 00:00:00,cancelled,Mobile,IN
100058,1002,2024-01-01 14:44:00,cancelled,Mobile,IN
100059,754,2024-01-01 20:46:00,created,In-Store,TX
100060,592,2024-01-01 13:12:00,created,Web,GA
100061,58,2024-01-01 01:15:00,cancelled,Web,CA
100062,429,2024-01-01 02:13:00,created,Web,IL
100063,280,2024-01-01 23:39:00,cancelled,Mobile,IN
100064,112,2024-01-01 16:54:00,created,In-Store,FL
100065,929,2024-01-01 23:32:00,created,Web,FL
100066,506,2024-01-01 01:51:00,cancelled,Web,NY
100067,963,2024-01-01 01:08:00,created,Web,CA
100068,413,2024-01-01 07:57:00,cancelled,Web,GA
100069,427,2024-01-01 00:25:00,created,In-Store,FL
100070,669,2024-01-01 19:57:00,shipped,Mobile,PA
100071,57,2024-01-01 14:24:00,paid,In-Store,FL
100072,494,2024-01-02 01:26:00,created,In-Store,FL
100073,928,2024-01-02 04:51:00,paid,In-Store,PA
100074,415,2024-01-02 06:05:00,paid,Mobile,NY
100075,939,2024-01-02 17:59:00,cancelled,Mobile,ZZ
100076,1158,2024-01-02 21:01:00,cancelled,Mobile,TX
100077,827,2024-01-02 22:01:00,shipped,Mobile,NC
100078,694,2024-01-02 15:25:00,delivered,Web,IL
100079,472,2024-01-02 14:32:00,delivered,Mobile,WA
100080,1106,2024-01-02 10:03:00,cancelled,In-Store,IN
100081,1130,2024-01-02 06:30:00,paid,In-Store,ZZ
100082,311,2024-01-02 19:47:00,created,Mobile,IN
100083,827,2024-01-02 15:44:00,created,Mobile,FL
100084,943,2024-01-02 11:35:00,delivered,In-Store,MA
100085,1117,2024-01-02 13:00:00,delivered,Web,NC
100086,558,2024-01-02 06:47:00,delivered,Mobile,FL
100087,698,2024-01-02 07:02:00,paid,Mobile,MA
100088,143,2024-01-02 19:25:00,delivered,Mobile,PA
100089,556,2024-01-02 14:44:00,paid,In-Store,PA
100090,405,2024-01-02 02:36:00,cancelled,Mobile,MA
100091,590,2024-01-02 13:32:00,shipped,Web,ZZ
100092,737,2024-01-02 05:30:00,created,In-Store,NY
100093,719,2024-01-02 13:19:00,delivered,Web,PA
100094,807,2024-01-02 22:40:00,paid,Web,MA
100095,516,2024-01-02 00:30:00,shipped,Web,MA
100096,342,2024-01-02 18:18:00,cancelled,Web,IL
100097,168,2024-01-02 17:11:00,created,Web,CA
100098,438,2024-01-02 06:53:00,paid,In-Store,CA
100099,250,2024-01-02 22:07:00,created,Web,ZZ
100100,319,2024-01-02 21:39:00,paid,Web,NY
100101,613,2024-01-02 10:20:00,delivered,In-Store,FL
100102,386,2024-01-02 05:19:00,delivered,Web,MA
100103,688,2024-01-02 16:46:00,delivered,Mobile,ZZ
100104,739,2024-01-02 08:42:00,shipped,In-Store,ZZ
100105,856,2024-01-02 00:25:00,created,In-Store,ZZ
100106,914,2024-01-02 20:00:00,delivered,In-Store,NY
100107,682,2024-01-02 17:55:00,shipped,In-Store,MA
100108,622,2024-01-02 06:32:00,delivered,Mobile,IN
100109,757,2024-01-02 00:19:00,created,In-Store,PA
100110,635,2024-01-02 10:45:00,shipped,In-Store,MA
100111,807,2024-01-02 00:52:00,cancelled,Mobile,ZZ
100112,851,2024-01-02 23:08:00,cancelled,Mobile,MA
100113,468,2024-01-02 04:21:00,created,Mobile,IN
100114,1047,2024-01-02 13:05:00,paid,In-Store,IL
100115,356,2024-01-02 19:39:00,cancelled,Web,IN
100116,1161,2024-01-02 03:48:00,cancelled,Web,ZZ
100117,1000,2024-01-02 17:44:00,cancelled,Web,NY
100118,410,2024-01-02 17:08:00,created,Mobile,ZZ
100119,52,2024-01-02 07:40:00,created,Web,GA
100120,992,2024-01-02 02:27:00,shipped,Mobile,ZZ
100121,27,2024-01-02 09:56:00,paid,Web,ZZ
100122,840,2024-01-02 06:07:00,created,In-Store,IN
100123,859,2024-01-02 22:16:00,created,Mobile,IN
100124,209,2024-01-02 09:20:00,created,In-Store,TX
100125,843,2024-01-02 07:04:00,created,Web,PA
100126,44,2024-01-02 14:26:00,created,Web,IL
100127,708,2024-01-02 23:28:00,created,Web,CA
100128,107,2024-01-02 18:17:00,shipped,In-Store,ZZ
100129,54,2024-01-02 02:15:00,created,Mobile,WA
100130,1,2024-01-02 07:35:00,created,Web,TX
100131,889,2024-01-02 05:49:00,delivered,Web,WA
100132,1019,2024-01-02 12:55:00,shipped,Web,ZZ
100133,990,2024-01-02 10:25:00,created,Mobile,MA
100134,63,2024-01-03 14:28:00,paid,Mobile,GA
100135,888,2024-01-03 20:43:00,paid,In-Store,NC
100136,234,2024-01-03 09:54:00,shipped,Mobile,FL
100137,794,2024-01-03 21:05:00,created,Mobile,CA
100138,200,2024-01-03 14:01:00,delivered,Web,TX
100139,516,2024-01-03 14:58:00,delivered,Web,TX
100140,476,2024-01-03 22:42:00,created,Mobile,GA
100141,642,2024-01-03 17:04:00,paid,Web,IN
100142,751,2024-01-03 08:30:00,created,Mobile,ZZ
100143,981,2024-01-03 07:49:00,delivered,Web,IL
100144,525,2024-01-03 02:05:00,created,Mobile,NY
100145,786,2024-01-03 14:42:00,delivered,Mobile,WA
100146,33,2024-01-03 08:07:00,paid,In-Store,MA
100147,186,2024-01-03 10:17:00,paid,In-Store,ZZ
100148,704,2024-01-03 15:18:00,created,Mobile,NY
100149,490,2024-01-03 13:34:00,cancelled,In-Store,NY
100150,791,2024-01-03 10:21:00,shipped,In-Store,IL
100151,506,2024-01-03 07:10:00,created,In-Store,WA
100152,687,2024-01-03 21:21:00,shipped,Web,ZZ
100153,483,2024-01-03 05:18:00,delivered,Mobile,TX
100154,921,2024-01-03 13:27:00,paid,Web,TX
100155,1049,2024-01-03 21:59:00,paid,Web,NY
100156,871,2024-01-03 02:54:00,delivered,In-Store,GA
100157,666,2024-01-03 18:35:00,cancelled,Mobile,TX
100158,8,2024-01-03 07:39:00,shipped,Mobile,NY
100159,800,2024-01-03 11:53:00,shipped,Mobile,IN
100160,526,2024-01-03 02:17:00,delivered,In-Store,IL
100161,901,2024-01-03 18:23:00,cancelled,In-Store,FL
100162,1011,2024-01-03 19:03:00,paid,Web,CA
100163,958,2024-01-03 23:44:00,delivered,In-Store,CA
100164,81,2024-01-03 00:25:00,delivered,Web,TX
100165,410,2024-01-03 02:02:00,created,In-Store,TX
100166,708,2024-01-03 17:07:00,paid,Mobile,TX
100167,922,2024-01-03 23:38:00,shipped,In-Store,IN
100168,501,2024-01-03 05:33:00,created,Web,PA
100169,876,2024-01-03 01:33:00,created,Mobile,CA
100170,51,2024-01-03 17:08:00,paid,Web,PA
100171,610,2024-01-03 15:16:00,shipped,Mobile,WA
100172,855,2024-01-03 18:40:00,created,Mobile,NY
100173,46,2024-01-03 08:48:00,shipped,Mobile,IN
100174,182,2024-01-03 02:50:00,cancelled,Mobile,IL
100175,425,2024-01-03 13:15:00,created,Mobile,GA
100176,366,2024-01-03 11:41:00,delivered,Web,ZZ
100177,30,2024-01-03 02:07:00,shipped,Mobile,GA
100178,628,2024-01-03 22:51:00,paid,Web,NY
100179,754,2024-01-03 12:06:00,cancelled,Mobile,CA
100180,375,2024-01-03 03:52:00,delivered,Mobile,NC
100181,500,2024-01-03 20:30:00,shipped,Web,FL
100182,193,2024-01-03 23:52:00,delivered,Mobile,MA
100183,1093,2024-01-03 18:52:00,cancelled,Mobile,MA
100184,858,2024-01-03 16:56:00,cancelled,In-Store,NY
100185,803,2024-01-03 16:01:00,shipped,Mobile,MA
100186,42,2024-01-03 05:14:00,cancelled,In-Store,PA
100187,1084,2024-01-03 05:55:00,shipped,In-Store,TX
100188,525,2024-01-03 00:56:00,cancelled,Web,PA
100189,494,2024-01-03 03:47:00,cancelled,Web,NY
100190,668,2024-01-03 07:05:00,delivered,Web,MA
100191,18,2024-01-03 22:30:00,cancelled,Web,NY
100192,981,2024-01-03 06:34:00,cancelled,Web,NC
100193,364,2024-01-03 06:48:00,shipped,In-Store,NC
100194,963,2024-01-03 14:27:00,shipped,Mobile,PA
100195,858,2024-01-03 08:38:00,shipped,In-Store,IN
100196,991,2024-01-03 22:25:00,paid,Mobile,NY
100197,412,2024-01-03 19:10:00,shipped,In-Store,FL
100198,847,2024-01-03 17:01:00,shipped,Mobile,NY
100199,597,2024-01-03 09:42:00,delivered,Web,NC
100200,144,2024-01-03 13:25:00,delivered,Mobile,IN
100201,1094,2024-01-04 06:31:00,shipped,In-Store,CA
100202,732,2024-01-04 19:56:00,delivered,In-Store,GA
100203,531,2024-01-04 10:06:00,shipped,In-Store,FL
100204,89,2024-01-04 06:24:00,shipped,Web,PA
100205,911,2024-01-04 23:25:00,cancelled,In-Store,NY
100206,52,2024-01-04 12:05:00,paid,Mobile,NC
100207,259,2024-01-04 18:04:00,cancelled,Mobile,NY
100208,380,2024-01-04 07:30:00,shipped,Mobile,FL
100209,126,2024-01-04 05:41:00,delivered,Web,CA
100210,943,2024-01-04 00:35:00,shipped,Web,NC
100211,176,2024-01-04 08:47:00,shipped,Mobile,GA
100212,362,2024-01-04 05:02:00,paid,In-Store,TX
100213,1113,2024-01-04 17:59:00,shipped,Mobile,MA
100214,1164,2024-01-04 17:01:00,paid,Mobile,IN
100215,721,2024-01-04 01:48:00,created,Mobile,WA
100216,549,2024-01-04 06:42:00,created,Mobile,FL
100217,1000,2024-01-04 10:18:00,paid,In-Store,MA
100218,472,2024-01-04 18:37:00,delivered,Web,TX
100219,398,2024-01-04 14:22:00,paid,In-Store,IL
100220,7,2024-01-04 15:47:00,cancelled,Mobile,CA
100221,786,2024-01-04 04:39:00,paid,Mobile,IN
100222,1162,2024-01-04 03:32:00,cancelled,Mobile,MA
100223,36,2024-01-04 22:27:00,delivered,Web,IN
100224,1016,2024-01-04 15:50:00,delivered,Web,CA
100225,173,2024-01-04 11:54:00,cancelled,Mobile,NC
100226,638,2024-01-04 22:01:00,delivered,In-Store,IN
100227,451,2024-01-04 11:02:00,paid,Web,TX
100228,961,2024-01-04 05:56:00,delivered,Mobile,TX
100229,785,2024-01-04 00:10:00,delivered,In-Store,NC
100230,965,2024-01-04 02:17:00,delivered,Web,PA
100231,977,2024-01-04 08:34:00,shipped,Web,TX
100232,925,2024-01-04 08:54:00,created,Web,FL
100233,558,2024-01-04 18:49:00,paid,Mobile,ZZ
100234,731,2024-01-04 06:41:00,delivered,In-Store,IN
100235,349,2024-01-04 07:55:00,created,Web,MA
100236,48,2024-01-04 09:38:00,shipped,In-Store,IN
100237,469,2024-01-04 16:53:00,shipped,Web,GA
100238,385,2024-01-04 14:01:00,cancelled,Mobile,IL
100239,91,2024-01-04 03:53:00,created,Mobile,IL
100240,319,2024-01-04 07:01:00,delivered,In-Store,CA
100241,62,2024-01-04 08:57:00,cancelled,Web,CA
100242,809,2024-01-04 18:15:00,cancelled,In-Store,PA
100243,467,2024-01-04 02:55:00,cancelled,Mobile,WA
100244,1146,2024-01-04 09:01:00,delivered,Mobile,CA
100245,546,2024-01-04 15:02:00,shipped,Mobile,GA
100246,1199,2024-01-04 08:50:00,created,In-Store,WA
100247,872,2024-01-04 02:26:00,shipped,Web,CA
100248,923,2024-01-04 01:31:00,paid,In-Store,CA
100249,949,2024-01-04 12:55:00,created,In-Store,ZZ
100250,529,2024-01-04 22:30:00,delivered,Mobile,IL
100251,330,2024-01-05 19:07:00,shipped,In-Store,GA
100252,803,2024-01-05 11:39:00,created,Mobile,MA
100253,981,2024-01-05 23:33:00,created,Web,NC
100254,384,2024-01-05 01:32:00,shipped,Mobile,MA
100255,179,2024-01-05 05:11:00,cancelled,In-Store,WA
100256,994,2024-01-05 09:44:00,shipped,Web,TX
100257,353,2024-01-05 16:36:00,paid,Mobile,IL
100258,525,2024-01-05 18:25:00,paid,Web,GA
100259,521,2024-01-05 03:44:00,created,Mobile,MA
100260,1166,2024-01-05 02:41:00,paid,In-Store,NY
100261,1024,2024-01-05 21:39:00,paid,Web,PA
100262,116,2024-01-05 21:40:00,cancelled,In-Store,ZZ
100263,826,2024-01-05 16:31:00,paid,Mobile,FL
100264,1145,2024-01-05 14:19:00,shipped,Web,IN
100265,805,2024-01-05 00:59:00,cancelled,Web,MA
100266,558,2024-01-05 11:35:00,created,Mobile,GA
100267,888,2024-01-05 20:56:00,paid,In-Store,NC
100268,634,2024-01-05 09:54:00,shipped,Mobile,MA
100269,112,2024-01-05 00:49:00,paid,Web,IL
100270,454,2024-01-05 02:36:00,delivered,Web,CA
100271,1057,2024-01-05 17:29:00,shipped,Mobile,GA
100272,79,2024-01-05 13:03:00,delivered,In-Store,MA
100273,975,2024-01-05 20:15:00,paid,Mobile,PA
100274,582,2024-01-05 09:09:00,cancelled,Mobile,NC
100275,1082,2024-01-05 23:52:00,paid,Web,TX
100276,786,2024-01-05 04:46:00,cancelled,Mobile,MA
100277,513,2024-01-05 20:57:00,shipped,In-Store,PA
100278,1048,2024-01-05 00:11:00,paid,Web,ZZ
100279,1153,2024-01-05 19:56:00,shipped,In-Store,MA
100280,1136,2024-01-05 11:16:00,cancelled,In-Store,IL
100281,50,2024-01-05 03:07:00,cancelled,Web,TX
100282,107,2024-01-05 08:13:00,delivered,Mobile,ZZ
100283,268,2024-01-05 22:15:00,created,Mobile,GA
100284,899,2024-01-05 17:57:00,cancelled,Mobile,WA
100285,1075,2024-01-05 09:21:00,cancelled,Web,ZZ
100286,279,2024-01-05 04:29:00,created,Web,GA
100287,645,2024-01-05 05:46:00,cancelled,In-Store,WA
100288,86,2024-01-05 05:53:00,shipped,In-Store,FL
100289,70,2024-01-05 19:19:00,created,Web,NY
100290,231,2024-01-05 10:30:00,paid,In-Store,ZZ
100291,1164,2024-01-05 08:51:00,shipped,Web,GA
100292,659,2024-01-05 11:50:00,shipped,Web,WA
100293,80,2024-01-05 17:38:00,paid,Mobile,TX
100294,35,2024-01-05 00:16:00,delivered,Mobile,WA
100295,640,2024-01-05 13:37:00,paid,Mobile,ZZ
100296,762,2024-01-05 17:28:00,shipped,In-Store,ZZ
100297,689,2024-01-05 10:33:00,paid,Mobile,GA
100298,292,2024-01-05 03:04:00,paid,In-Store,NC
100299,695,2024-01-05 15:49:00,created,Mobile,TX
100300,357,2024-01-06 07:34:00,paid,Web,WA
100301,450,2024-01-06 11:35:00,paid,Mobile,TX
100302,91,2024-01-06 19:36:00,delivered,Web,GA
100303,116,2024-01-06 17:08:00,delivered,In-Store,WA
100304,853,2024-01-06 09:36:00,delivered,Mobile,WA
100305,900,2024-01-06 12:10:00,delivered,Mobile,IL
100306,1038,2024-01-06 11:47:00,cancelled,Web,ZZ
100307,854,2024-01-06 06:16:00,shipped,In-Store,IN
100308,218,2024-01-06 21:00:00,paid,In-Store,CA
100309,1068,2024-01-06 23:08:00,created,Mobile,FL
100310,1178,2024-01-06 20:04:00,cancelled,Mobile,NC
100311,346,2024-01-06 07:11:00,paid,In-Store,MA
100312,440,2024-01-06 15:24:00,created,Web,PA
100313,846,2024-01-06 12:48:00,paid,Mobile,PA
100314,1168,2024-01-06 07:25:00,cancelled,Mobile,WA
100315,1142,2024-01-06 15:20:00,paid,Mobile,IL
100316,1150,2024-01-06 14:00:00,created,In-Store,FL
100317,280,2024-01-06 00:46:00,delivered,In-Store,NC
100318,68,2024-01-06 02:12:00,paid,In-Store,GA
100319,685,2024-01-06 08:21:00,created,Web,ZZ
100320,434,2024-01-06 18:20:00,cancelled,In-Store,NC
100321,477,2024-01-06 19:47:00,created,In-Store,TX
100322,1161,2024-01-06 08:21:00,shipped,Mobile,ZZ
100323,1098,2024-01-06 10:28:00,paid,In-Store,IN
100324,1140,2024-01-06 17:21:00,cancelled,Mobile,GA
100325,630,2024-01-06 00:29:00,created,Mobile,FL
100326,602,2024-01-06 17:19:00,cancelled,In-Store,ZZ
100327,1112,2024-01-06 07:47:00,delivered,Web,CA
100328,1140,2024-01-06 04:31:00,created,Web,FL
100329,427,2024-01-06 15:05:00,paid,Web,NC
100330,742,2024-01-06 00:01:00,delivered,In-Store,IL
100331,458,2024-01-06 21:21:00,paid,Mobile,CA
100332,859,2024-01-06 15:07:00,cancelled,Web,FL
100333,1038,2024-01-06 05:51:00,cancelled,In-Store,TX
100334,1013,2024-01-06 01:53:00,shipped,In-Store,TX
100335,1038,2024-01-06 09:21:00,paid,Web,WA
100336,397,2024-01-06 02:01:00,shipped,Mobile,NC
100337,889,2024-01-06 20:07:00,paid,In-Store,NY
100338,744,2024-01-06 23:52:00,shipped,Mobile,GA
100339,468,2024-01-06 04:47:00,delivered,Mobile,MA
100340,980,2024-01-06 17:12:00,shipped,In-Store,GA
100341,718,2024-01-06 20:49:00,paid,Web,IN
100342,880,2024-01-06 14:34:00,paid,In-Store,IN
100343,1143,2024-01-06 00:53:00,created,Web,NC
100344,699,2024-01-06 07:57:00,paid,Mobile,CA
100345,149,2024-01-06 05:58:00,cancelled,In-Store,NC
100346,447,2024-01-06 17:18:00,shipped,In-Store,NY
100347,101,2024-01-06 07:49:00,created,In-Store,IN
100348,63,2024-01-06 17:42:00,delivered,Web,CA
100349,290,2024-01-07 05:32:00,paid,Mobile,MA
100350,481,2024-01-07 20:25:00,paid,Web,NY
100351,1131,2024-01-07 20:56:00,created,Mobile,GA
100352,489,2024-01-07 08:31:00,paid,In-Store,IN
100353,68,2024-01-07 00:29:00,created,Web,TX
100354,979,2024-01-07 22:22:00,shipped,Mobile,TX
100355,113,2024-01-07 15:36:00,created,In-Store,ZZ
100356,105,2024-01-07 17:13:00,cancelled,Web,TX
100357,823,2024-01-07 23:13:00,cancelled,Web,ZZ
100358,457,2024-01-07 07:07:00,cancelled,In-Store,NY
100359,778,2024-01-07 07:43:00,shipped,Web,MA
100360,161,2024-01-07 21:27:00,paid,In-Store,GA
100361,629,2024-01-07 09:56:00,created,Web,ZZ
100362,6,2024-01-07 09:33:00,shipped,Mobile,IN
100363,724,2024-01-07 20:10:00,shipped,Web,ZZ
100364,4,2024-01-07 19:38:00,paid,Mobile,PA
100365,322,2024-01-07 21:26:00,delivered,In-Store,CA
100366,279,2024-01-07 12:01:00,paid,Mobile,GA
100367,1000,2024-01-07 11:23:00,cancelled,In-Store,FL
100368,195,2024-01-07 11:58:00,delivered,Mobile,TX
100369,1028,2024-01-07 08:59:00,shipped,In-Store,WA
100370,28,2024-01-07 15:06:00,paid,In-Store,TX
