payment_id,order_id,payment_datetime,amount,status,method
P100001-1,100001,2024-01-03 07:25:00,0.7,refunded,Cash
P100002-1,100002,2024-01-02 19:41:00,33.24,authorized,Cash
P100003-1,100003,2024-01-04 18:12:00,56.72,refunded,Card
P100004-1,100004,2024-01-04 16:33:00,18.51,authorized,Cash
P100005-1,100005,2024-01-02 06:52:00,151.19,failed,PayPal
P100006-1,100006,2024-01-02 20:35:00,161.54,captured,Wire
P100007-1,100007,2024-01-02 03:35:00,133.65,failed,PayPal
P100008-1,100008,2024-01-03 22:56:00,44.68,captured,Card
P100009-1,100009,2024-01-02 22:44:00,54.4,authorized,Cash
P100010-1,100010,2024-01-03 08:15:00,38.05,failed,PayPal
P100011-1,100011,2024-01-01 21:09:00,68.07,authorized,Card
P100012-1,100012,2024-01-02 13:43:00,30.13,authorized,PayPal
P100013-1,100013,2024-01-02 16:24:00,171.66,failed,Wire
P100014-1,100014,2024-01-03 18:03:00,10.98,authorized,Card
P100015-1,100015,2024-01-03 22:59:00,89.19,refunded,PayPal
P100015-2,100015,2024-01-03 10:59:00,62.68,captured,PayPal
P100016-1,100016,2024-01-03 20:02:00,14.68,authorized,Wire
P100017-1,100017,2024-01-02 19:34:00,72.16,failed,Wire
P100018-1,100018,2024-01-03 12:53:00,53.37,refunded,Wire
P100019-1,100019,2024-01-01 23:47:00,33.33,refunded,Wire
P100021-1,100021,2024-01-01 16:48:00,22.41,captured,PayPal
P100022-1,100022,2024-01-01 15:09:00,111.17,refunded,Cash
P100023-1,100023,2024-01-03 23:27:00,164.65,refunded,Wire
P100024-1,100024,2024-01-04 09:05:00,51.17,authorized,Cash
P100025-1,100025,2024-01-01 18:02:00,92.14,captured,Cash
P100026-1,100026,2024-01-02 11:32:00,11.18,failed,Cash
P100027-1,100027,2024-01-04 09:06:00,18.81,failed,Cash
P100028-1,100028,2024-01-03 07:05:00,34.12,failed,Card
P100029-1,100029,2024-01-03 16:07:00,22.93,failed,Cash
P100030-1,100030,2024-01-03 09:12:00,61.95,authorized,PayPal
P100031-1,100031,2024-01-02 03:20:00,60.97,captured,Card
P100032-1,100032,2024-01-03 06:25:00,76.8,authorized,PayPal
P100033-1,100033,2024-01-03 12:58:00,28.58,captured,Cash
P100034-1,100034,2024-01-02 19:11:00,14.91,refunded,Card
P100035-1,100035,2024-01-03 12:09:00,74.42,refunded,PayPal
P100036-1,100036,2024-01-02 00:28:00,44.08,refunded,Wire
P100037-1,100037,2024-01-01 07:20:00,27.73,authorized,Wire
P100038-1,100038,2024-01-02 21:10:00,59.71,failed,Card
P100039-1,100039,2024-01-04 00:43:00,36.17,authorized,Card
P100040-1,100040,2024-01-01 09:58:00,29.8,refunded,Cash
P100041-1,100041,2024-01-04 00:09:00,172.89,refunded,Wire
P100042-1,100042,2024-01-03 20:06:00,50.88,failed,Wire
P100043-1,100043,2024-01-03 14:00:00,134.75,refunded,Cash
P100044-1,100044,2024-01-01 15:18:00,35.92,captured,Wire
P100045-1,100045,2024-01-02 21:02:00,178.12,refunded,PayPal
P100046-1,100046,2024-01-02 04:44:00,50.88,authorized,PayPal
P100047-1,100047,2024-01-04 10:04:00,28.94,captured,PayPal
P100048-1,100048,2024-01-02 07:31:00,22.03,refunded,Wire
